0 , 21.8203, 22 , 19 , 0
0 , 20.3634, 27 , 12 , 3
0 , 17.7984, 29 , 13 , 5
0 , 17.6403, 30 , 13 , 6
0 , 12.8287, 47 , 21 , 16
2 , 12.3515, 125 , 54 , 60
3 , 12.0557, 184 , 71 , 81
5 , 11.8113, 246 , 95 , 110
19 , 11.7685, 629 , 269 , 314
29 , 11.6452, 857 , 366 , 425
32 , 11.4686, 937 , 400 , 462
76 , 11.4146, 1647 , 743 , 849
96 , 11.3655, 1898 , 866 , 985
125 , 10.7876, 2215 , 1027 , 1161
142 , 10.5263, 2393 , 1112 , 1261
357 , 10.4503, 4181 , 1938 , 2204
859 , 10.1754, 7045 , 3222 , 3691
13866 , 10.1704, 33230 , 14497 , 16671
39688 , 10.0396, 57711 , 25051 , 28764
