0 , 21.8203, 22 , 19 , 0
0 , 17.9329, 24 , 12 , 2
0 , 17.7739, 27 , 12 , 4
0 , 17.0997, 32 , 15 , 7
0 , 13.7424, 33 , 16 , 8
1 , 13.0689, 58 , 24 , 20
1 , 11.6136, 65 , 28 , 24
2 , 11.3265, 80 , 36 , 36
5 , 11.155, 189 , 80 , 91
31 , 11.0054, 802 , 385 , 434
63 , 10.7815, 1374 , 653 , 741
84 , 10.7743, 1650 , 798 , 904
364 , 10.2627, 4243 , 1981 , 2262
4045 , 10.2391, 17108 , 7612 , 8758
6031 , 10.2342, 21252 , 9412 , 10832
14238 , 10.2163, 33493 , 14784 , 17002
22535 , 10.2148, 42610 , 18778 , 21572
32847 , 10.1691, 51772 , 22823 , 26152
