0 , 30.8148, 44 , 22 , 0
71 , 25.3087, 229 , 89 , 185
74 , 24.4015, 235 , 89 , 191
85 , 24.0026, 276 , 92 , 232
183 , 23.9565, 418 , 202 , 374
190 , 23.6482, 426 , 210 , 382
364 , 23.2197, 572 , 333 , 528
411 , 19.8031, 597 , 341 , 553
996 , 19.0281, 1209 , 552 , 1165
1015 , 18.598, 1212 , 554 , 1168
1760 , 18.506, 2230 , 734 , 2186
2069 , 17.7471, 2508 , 811 , 2464
2941 , 14.8046, 2947 , 921 , 2903
3296 , 14.0886, 3155 , 950 , 3111
7662 , 14.0824, 10137 , 1375 , 10093
13240 , 13.0983, 12225 , 1915 , 12181
19280 , 12.6137, 20148 , 2331 , 20104
19808 , 12.5701, 20309 , 2367 , 20265
21997 , 12.5653, 21030 , 2581 , 20986
38729 , 12.5217, 26451 , 3768 , 26407
