0 , 30.8148, 44 , 22 , 0
14 , 25.3312, 78 , 36 , 34
20 , 24.565, 91 , 42 , 47
35 , 20.9107, 114 , 55 , 70
48 , 20.4831, 133 , 61 , 89
52 , 20.117, 139 , 64 , 95
55 , 19.9332, 145 , 66 , 101
71 , 19.1192, 163 , 80 , 119
116 , 18.1139, 247 , 119 , 192
131 , 17.321, 263 , 128 , 205
210 , 16.8945, 379 , 192 , 311
219 , 16.6913, 397 , 201 , 324
693 , 16.5375, 863 , 475 , 729
1160 , 15.8968, 1214 , 678 , 1044
1362 , 14.8802, 1342 , 752 , 1158
5587 , 14.605, 3216 , 1839 , 2755
7610 , 14.5697, 3864 , 2189 , 3305
8840 , 14.0386, 4220 , 2386 , 3606
17492 , 13.5185, 6184 , 3489 , 5272
