0 , 30.8148, 44 , 22 , 0
24 , 29.4189, 98 , 59 , 54
60 , 25.9852, 177 , 116 , 133
133 , 25.1864, 289 , 198 , 245
134 , 22.9015, 290 , 199 , 246
860 , 20.9279, 1003 , 713 , 959
901 , 20.7563, 1031 , 733 , 987
1034 , 19.8105, 1117 , 799 , 1073
1604 , 19.6272, 1441 , 1042 , 1397
2611 , 18.6259, 1817 , 1326 , 1773
4013 , 18.3779, 2307 , 1698 , 2263
4681 , 18.076, 2497 , 1851 , 2453
11337 , 17.9014, 4117 , 3075 , 4073
11957 , 16.404, 4231 , 3165 , 4187
29768 , 14.661, 6813 , 5182 , 6769
35679 , 13.6742, 7494 , 5693 , 7450
