0 , 30.8148, 44 , 22 , 0
1 , 27.7796, 48 , 23 , 4
8 , 22.5922, 60 , 29 , 16
46 , 22.5779, 215 , 40 , 171
49 , 22.3712, 218 , 43 , 174
53 , 22.1078, 225 , 49 , 181
54 , 22.0318, 227 , 51 , 183
121 , 21.2543, 435 , 84 , 391
139 , 19.6466, 475 , 95 , 431
146 , 18.798, 482 , 98 , 438
147 , 18.4756, 483 , 99 , 439
160 , 18.4263, 497 , 110 , 453
161 , 18.0817, 498 , 111 , 454
171 , 17.8766, 511 , 124 , 467
1874 , 17.0096, 1505 , 538 , 1461
2416 , 14.7519, 1787 , 621 , 1743
6687 , 14.3515, 6777 , 1090 , 6733
13854 , 14.3143, 10793 , 1779 , 10749
15979 , 14.2363, 11891 , 1964 , 11847
16329 , 13.5733, 12007 , 1999 , 11963
34541 , 13.3497, 18658 , 3166 , 18614
