0 , 30.8148, 44 , 22 , 0
6 , 30.0009, 59 , 30 , 15
15 , 16.9025, 69 , 36 , 25
54 , 16.7843, 174 , 75 , 119
57 , 14.9331, 177 , 78 , 122
266 , 14.6776, 504 , 250 , 404
3012 , 14.6135, 2356 , 1304 , 1960
4892 , 14.3845, 3144 , 1744 , 2630
6189 , 14.3749, 3603 , 2002 , 3014
8794 , 14.3721, 4422 , 2468 , 3703
9022 , 14.3032, 4497 , 2504 , 3762
12372 , 14.0182, 5405 , 3007 , 4528
14216 , 13.9096, 5816 , 3232 , 4882
25223 , 13.4607, 8053 , 4408 , 6735
26031 , 13.3845, 8194 , 4482 , 6854
31124 , 13.1002, 9135 , 4935 , 7638
