0 , 30.8148, 44 , 22 , 0
1 , 23.7998, 46 , 23 , 2
3 , 23.2155, 49 , 24 , 5
5 , 21.4046, 51 , 26 , 7
6 , 19.4941, 53 , 26 , 9
246 , 19.285, 580 , 170 , 536
288 , 19.2595, 631 , 197 , 587
500 , 18.735, 808 , 300 , 764
519 , 17.6814, 817 , 308 , 773
873 , 17.1844, 1081 , 410 , 1037
1008 , 17.0451, 1215 , 439 , 1171
1384 , 16.6244, 1484 , 521 , 1440
1670 , 16.3039, 1559 , 583 , 1515
2182 , 15.7985, 1681 , 675 , 1637
2685 , 15.7383, 1814 , 755 , 1770
4129 , 15.1647, 2553 , 960 , 2509
4392 , 14.4157, 2644 , 993 , 2600
8440 , 14.1697, 3907 , 1436 , 3863
23268 , 13.8008, 9266 , 2705 , 9222
24373 , 13.7616, 9634 , 2781 , 9590
