0 , 30.8148, 44 , 22 , 0
3 , 25.6294, 52 , 25 , 8
15 , 24.5541, 75 , 40 , 30
21 , 24.3409, 85 , 46 , 40
23 , 24.2199, 92 , 47 , 47
25 , 19.12, 97 , 49 , 52
39 , 18.038, 152 , 63 , 101
86 , 17.7338, 230 , 110 , 171
140 , 15.9488, 318 , 164 , 250
1886 , 15.7281, 1668 , 935 , 1402
2410 , 15.615, 1934 , 1091 , 1631
4459 , 15.0599, 2799 , 1612 , 2372
7231 , 14.9979, 3688 , 2120 , 3140
7790 , 14.5709, 3852 , 2216 , 3287
13556 , 14.0274, 5271 , 3060 , 4508
16196 , 13.6724, 5862 , 3374 , 5001
16249 , 13.4563, 5881 , 3380 , 5015
