0 , 30.8148, 44 , 22 , 0
4 , 28.6349, 55 , 27 , 11
8 , 27.1358, 71 , 32 , 27
18 , 25.745, 106 , 42 , 62
27 , 25.171, 127 , 52 , 83
30 , 25.0604, 138 , 56 , 94
42 , 19.5251, 170 , 69 , 126
168 , 19.489, 384 , 179 , 326
183 , 15.5661, 395 , 185 , 337
220 , 15.3097, 431 , 204 , 367
661 , 14.9239, 865 , 445 , 752
1739 , 14.9031, 1607 , 874 , 1391
5909 , 14.6328, 3451 , 1921 , 2948
18081 , 14.3891, 6295 , 3559 , 5347
30262 , 13.9358, 8516 , 4793 , 7197
31541 , 13.7902, 8729 , 4905 , 7376
42222 , 13.5026, 10311 , 5751 , 8709
