0 , 30.8148, 44 , 22 , 0
6 , 30.297, 80 , 28 , 36
9 , 23.3968, 89 , 32 , 45
50 , 20.8193, 182 , 73 , 136
85 , 18.8624, 240 , 101 , 190
102 , 18.3654, 258 , 107 , 208
115 , 17.6156, 280 , 120 , 230
524 , 17.1867, 746 , 390 , 641
889 , 16.2583, 1026 , 562 , 897
1350 , 15.4433, 1305 , 735 , 1149
3023 , 15.1998, 2168 , 1234 , 1887
3463 , 15.0738, 2343 , 1336 , 2034
4487 , 14.507, 2817 , 1598 , 2437
6423 , 14.4532, 3501 , 1991 , 3026
14308 , 14.2039, 5455 , 3143 , 4700
17472 , 13.3363, 6136 , 3530 , 5286
17504 , 13.2587, 6140 , 3525 , 5289
18361 , 12.987, 6338 , 3621 , 5458
19567 , 12.638, 6605 , 3742 , 5679
