0 , 30.8148, 44 , 22 , 0
283 , 27.7712, 552 , 290 , 508
379 , 20.7322, 734 , 346 , 690
394 , 20.5534, 756 , 347 , 712
398 , 19.2161, 764 , 348 , 720
523 , 17.1716, 1037 , 384 , 993
655 , 15.7292, 1221 , 403 , 1177
689 , 15.5517, 1234 , 407 , 1190
860 , 15.5431, 1311 , 446 , 1267
914 , 15.3877, 1326 , 460 , 1282
8247 , 15.0249, 6603 , 1434 , 6559
8609 , 14.7232, 6670 , 1473 , 6626
11210 , 13.8241, 7707 , 1699 , 7663
14213 , 13.2312, 8772 , 1959 , 8728
14832 , 13.2232, 8977 , 2007 , 8933
14908 , 13.1882, 8993 , 2013 , 8949
