0 , 30.8148, 44 , 22 , 0
27 , 23.6389, 236 , 49 , 73
41 , 21.0821, 330 , 61 , 98
90 , 19.9223, 850 , 105 , 200
99 , 18.7875, 932 , 108 , 212
240 , 17.5311, 2156 , 207 , 384
337 , 17.3733, 2951 , 265 , 497
398 , 16.5316, 3421 , 298 , 556
564 , 15.5725, 4998 , 379 , 704
1676 , 15.555, 14477 , 857 , 1480
1806 , 14.6147, 15346 , 897 , 1545
2008 , 14.0051, 16815 , 953 , 1653
2417 , 13.0972, 21139 , 1083 , 1883
5034 , 13.0454, 58021 , 1669 , 3039
7379 , 12.8637, 81984 , 2095 , 3823
17169 , 12.8371, 168823 , 3388 , 6382
41966 , 12.75, 308976 , 5558 , 10465
