0 , 30.8148, 44 , 22 , 0
79 , 22.8779, 294 , 63 , 250
83 , 21.2817, 297 , 63 , 253
183 , 20.3516, 613 , 101 , 569
203 , 19.8239, 646 , 110 , 602
209 , 16.9307, 648 , 108 , 604
213 , 16.4559, 649 , 108 , 605
216 , 16.0894, 650 , 109 , 606
522 , 15.6875, 1320 , 224 , 1276
618 , 14.5308, 1362 , 261 , 1318
3137 , 14.385, 3408 , 836 , 3364
3324 , 13.4701, 3430 , 858 , 3386
3975 , 13.426, 3694 , 941 , 3650
15582 , 13.3995, 10462 , 1940 , 10418
20489 , 13.2438, 12701 , 2315 , 12657
29127 , 12.7318, 14908 , 2853 , 14864
41002 , 12.3607, 18999 , 3404 , 18955
