0 , 30.8148, 44 , 22 , 0
34 , 27.5689, 198 , 27 , 154
44 , 25.1293, 221 , 32 , 177
69 , 24.7585, 263 , 61 , 219
71 , 24.6849, 264 , 62 , 220
99 , 23.2027, 316 , 76 , 272
113 , 23.0033, 330 , 86 , 286
115 , 19.2461, 331 , 87 , 287
123 , 18.7076, 336 , 87 , 292
254 , 18.5567, 641 , 150 , 597
654 , 15.8119, 1004 , 279 , 960
1485 , 15.7055, 1609 , 514 , 1565
1727 , 15.5806, 1758 , 565 , 1714
2311 , 15.4766, 2208 , 697 , 2164
2822 , 15.2039, 2597 , 765 , 2553
2831 , 14.9736, 2602 , 766 , 2558
6485 , 14.5283, 4957 , 1254 , 4913
11738 , 14.2487, 6362 , 1875 , 6318
17616 , 13.9969, 11119 , 2344 , 11075
32428 , 13.587, 16997 , 3173 , 16953
43487 , 13.5488, 24382 , 3656 , 24338
