0 , 30.8148, 44 , 22 , 0
2 , 21.5283, 45 , 23 , 1
21 , 21.3144, 99 , 43 , 51
53 , 20.6457, 157 , 75 , 107
67 , 17.5991, 176 , 88 , 126
98 , 17.5961, 243 , 119 , 185
108 , 17.234, 258 , 128 , 199
282 , 16.9431, 479 , 258 , 378
385 , 16.6166, 583 , 322 , 469
387 , 16.396, 584 , 323 , 470
427 , 15.9924, 640 , 349 , 517
525 , 15.1515, 743 , 408 , 604
1659 , 15.032, 1575 , 874 , 1301
7788 , 14.709, 3999 , 2299 , 3386
14601 , 14.1867, 5684 , 3307 , 4828
15658 , 14.0774, 5883 , 3426 , 5004
31018 , 13.0917, 8834 , 4999 , 7468
