0 , 30.8148, 44 , 22 , 0
55 , 25.1546, 178 , 103 , 134
58 , 21.9951, 184 , 106 , 140
75 , 21.5019, 212 , 124 , 168
107 , 20.6945, 264 , 164 , 220
138 , 19.7749, 320 , 200 , 276
152 , 19.4176, 341 , 215 , 297
237 , 19.0453, 454 , 291 , 410
483 , 18.1627, 680 , 456 , 636
500 , 17.2203, 691 , 465 , 647
556 , 17.0434, 731 , 494 , 687
1035 , 16.8143, 1069 , 755 , 1025
1691 , 16.492, 1460 , 1032 , 1416
4549 , 16.3376, 2545 , 1861 , 2501
4840 , 16.1474, 2635 , 1923 , 2591
11838 , 15.9835, 4249 , 3165 , 4205
19512 , 15.888, 5596 , 4160 , 5552
25021 , 14.2887, 6362 , 4746 , 6318
28320 , 14.0877, 6771 , 5044 , 6727
