0 , 30.8148, 44 , 22 , 0
18 , 25.9767, 170 , 43 , 55
35 , 23.3558, 373 , 60 , 108
44 , 21.8882, 432 , 66 , 122
48 , 19.2571, 461 , 68 , 128
164 , 18.9004, 1801 , 171 , 340
177 , 18.4492, 1950 , 180 , 358
362 , 17.3959, 3524 , 288 , 560
443 , 15.4621, 4261 , 331 , 637
664 , 14.9957, 6892 , 442 , 841
2366 , 13.9246, 19928 , 1047 , 1818
7844 , 13.7392, 58795 , 2198 , 3714
8263 , 13.6557, 60810 , 2255 , 3811
10657 , 13.5156, 74644 , 2616 , 4432
31265 , 13.3865, 163826 , 4855 , 8188
38566 , 13.3359, 190104 , 5448 , 9194
44271 , 12.8685, 208118 , 5869 , 9905
