0 , 30.8148, 44 , 22 , 0
101 , 30.7347, 267 , 158 , 223
117 , 27.7066, 301 , 178 , 257
2284 , 26.524, 1842 , 1249 , 1798
2293 , 26.2857, 1845 , 1252 , 1801
2306 , 23.7217, 1848 , 1255 , 1804
2454 , 23.5128, 1908 , 1300 , 1864
4283 , 23.0486, 2604 , 1804 , 2560
4506 , 22.9116, 2643 , 1834 , 2599
5461 , 22.8665, 2901 , 2017 , 2857
5748 , 22.5798, 2984 , 2070 , 2940
6359 , 21.1262, 3144 , 2185 , 3100
7671 , 17.0107, 3463 , 2408 , 3419
8475 , 16.8049, 3637 , 2533 , 3593
10492 , 16.4071, 4073 , 2860 , 4029
14190 , 16.3546, 4728 , 3375 , 4684
16306 , 15.7114, 5083 , 3643 , 5039
18967 , 14.9853, 5499 , 3949 , 5455
19355 , 14.5623, 5564 , 3995 , 5520
25517 , 14.1324, 6445 , 4614 , 6401
36346 , 14.0454, 7785 , 5617 , 7741
