0 , 24.345, 183 , 178 , 0
0 , 23.3284, 185 , 142 , 2
0 , 19.4708, 190 , 144 , 4
0 , 19.2111, 194 , 45 , 7
0 , 14.9316, 202 , 50 , 12
0 , 14.596, 206 , 22 , 14
1 , 13.5962, 234 , 30 , 22
5 , 12.8423, 399 , 76 , 73
6 , 12.6843, 460 , 95 , 93
15 , 12.4657, 770 , 178 , 177
17 , 12.1877, 835 , 196 , 195
37 , 12.0712, 1338 , 358 , 357
52 , 11.9176, 1637 , 461 , 460
62 , 11.7637, 1841 , 519 , 518
83 , 11.7298, 2217 , 632 , 631
114 , 11.6729, 2736 , 776 , 776
215 , 11.2792, 4023 , 1164 , 1165
295 , 10.6239, 4793 , 1412 , 1416
3015 , 10.4198, 17413 , 5290 , 5363
4423 , 10.4037, 21483 , 6506 , 6599
