0 , 24.345, 183 , 178 , 0
0 , 18.0397, 188 , 144 , 4
0 , 15.4767, 191 , 32 , 6
0 , 14.9631, 209 , 20 , 12
1 , 14.8121, 230 , 25 , 17
1 , 12.9956, 232 , 26 , 18
3 , 12.0148, 330 , 50 , 47
27 , 11.9968, 1060 , 266 , 265
30 , 11.9469, 1139 , 288 , 288
71 , 11.8085, 2051 , 537 , 538
255 , 11.5522, 4484 , 1290 , 1295
315 , 11.54, 5072 , 1464 , 1471
1063 , 11.2656, 9940 , 2998 , 3021
1746 , 11.1436, 13064 , 3945 , 3977
2261 , 10.7982, 14926 , 4535 , 4570
3207 , 10.5927, 17907 , 5481 , 5527
37270 , 10.3521, 65601 , 19777 , 20051
