0 , 24.345, 183 , 178 , 0
0 , 23.7403, 184 , 141 , 1
0 , 15.9824, 186 , 143 , 3
0 , 15.9457, 198 , 18 , 9
1 , 15.3381, 236 , 28 , 19
1 , 12.5849, 237 , 29 , 20
2 , 12.4382, 266 , 28 , 25
6 , 12.1692, 351 , 53 , 50
9 , 12.0996, 441 , 78 , 75
19 , 11.9931, 659 , 141 , 139
42 , 11.3755, 1099 , 289 , 289
142 , 11.2427, 2610 , 783 , 788
152 , 11.097, 2741 , 822 , 828
666 , 10.8445, 7137 , 2228 , 2254
1289 , 10.5556, 10552 , 3264 , 3307
5354 , 10.5328, 23037 , 7111 , 7214
23698 , 10.3827, 51001 , 15496 , 15735
