0 , 24.345, 183 , 178 , 0
0 , 21.5691, 186 , 142 , 2
0 , 18.1929, 188 , 79 , 4
0 , 17.3719, 190 , 31 , 5
0 , 13.8101, 192 , 33 , 7
2 , 13.7112, 312 , 49 , 43
4 , 13.191, 367 , 65 , 59
4 , 13.074, 391 , 76 , 70
6 , 12.8615, 473 , 99 , 95
15 , 12.78, 766 , 185 , 182
15 , 12.7564, 783 , 191 , 188
23 , 12.1484, 1037 , 263 , 260
37 , 12.0996, 1382 , 366 , 366
38 , 11.8798, 1399 , 372 , 372
63 , 11.6426, 1903 , 533 , 536
177 , 11.5051, 3584 , 1047 , 1053
214 , 11.1508, 3979 , 1178 , 1186
554 , 11.1215, 6864 , 2057 , 2079
1037 , 10.4005, 9748 , 2948 , 2979
21946 , 10.4004, 50480 , 15190 , 15449
